index,EquipmentId,OrganizationId,ClassificationID,EquipmentName,VIN,LicensePlate,AgencyId,DOTId,FundedByDOT,FundingProgramId,GrantIdPrimary,OtherGrantPrimary,GrantIdSecondary,OtherGrantSecondary,DOTContractId,OtherDOTContract,UPIN,Quantity,AverageCostPerUnit,TotalCost,FederalShare,FederalSharePercent,StateShare,StateSharePercent,LocalShare,LocalSharePercent,TDCShare,TDCSharePercent,DOTCapitalResponsibility,OrganizationCapitalResponsibility,OtherCapitalResponsibility,OtherCapitalResponsibilityOrg,EquipmentClassID,EquipmentTypeID,EquipmentTypeOther,Manufacturer,Model,EquipmentYear,SerialNumber,EquipmentStatusId,ImprovementTypeId,CurrentCondition,CurrentConditionDate,ConditionRatingId,CurrentMileage,CurrentMileageDate,YearOfRenewal,RenewalTypeId,PurchaseOrderNumber,PurchaseOrderDate,Vendor,ReceivedDate,LastInspectionDate,NextInspectionDate,VehicleLocationStreet,VehicleLocationCity,VehicleLocationState,InServiceDate,AverageEstimatedServiceYearsWhenNew,UsefulLifeYearsRemaining,OutOfServiceDate,IsDOTLienHolder,IsTitleOnFileWithDOT,TitleNumber,RegistrationNumber,Comments,DispositionDate,sys_ModifiedUserId
0,5,3670,1,Service Vehilce,1GKDT13Z4N2518038,E372017,7,,False,,,,,,,,,,,,,,,,,,,,,,,,1,1,,GMC,,1992,,1,,,8/31/2018 12:00:00 AM,5,146413,1/3/2020 12:00:00 AM,,,,,,,,,,,,,8,28,,False,,,,,,2630
1,6,3670,2,Back up power generator,,,,,False,,,,,,,,,,,82752.00,,,82752.00,100.00,,,,,,,,,4,15,Power generator,Kohler,,2014,SGM32B9K4,1,,,,,,,,,,,,,,,,,,,,,,False,,,,,,2630
2,7,3682,2,Fixed Route Fare Boxes,,,,,False,,,,,,,,,,,117950.00,,,,,117950.00,100.00,,,,,,,2,4,,GFI GENFARE,Odyssey,2009,OD028592,1,1,3.0,12/7/2017 12:00:00 AM,3,,,,,,,,,,,,,,1/2/2010 12:00:00 AM,,,,False,,,,,,2030
3,9,3682,2,Fare Box Computer System,,,,,False,,,,,,,,,1,40500.00,,,,,,40500.00,,,,,,,,2,4,,GFI GENFARE,,2009,,1,1,2.5,12/7/2017 12:00:00 AM,3,,,,,,,,,,,,,,,,,,False,,,,,,2030
4,10,3713,1,Safari Van,1GKDM19WXYB545419,E-1087779,003,1675,True,27,,,,,,,,,,19827.00,,,,,,,,,,,,,1,2,,GMC,,2000,,1,,,,,85973,12/5/2017 12:00:00 AM,,,,7/19/2000 12:00:00 AM,,,,,,,,,14,,,False,False,,,,,1944
5,11,3713,1,F350 Flat Bed,1FDWF36S81EA24730,E-1087782,101,1675,True,27,,,,,,,,,,31218.00,,,,,,,,,,,,,1,2,,Ford,,2001,,1,,,,,51658,12/5/2017 12:00:00 AM,,,,,,,,,,,,,14,,,False,False,,,,,1944
6,12,3713,1,F250 Service Body,1FTNF20L51EA53355,E-1087780,103,1675,True,27,,,,,,,,,,24705.00,,,,,,,,,,,,,1,2,,Ford,,2001,,1,,,,,106745,12/5/2017 12:00:00 AM,,,,12/29/2000 12:00:00 AM,,,,,,,,,14,,,False,False,,,,,1944
7,13,3713,1,Explorer,1FMZU63E42UA23813,E-1087797,202,1675,True,27,,,,,,,,,,26641.00,,,,,,,,,,,,,1,1,,Ford,,2002,,5,,,,,203283,12/5/2017 12:00:00 AM,,,,3/30/2001 12:00:00 AM,,,,,,,,,8,,,False,False,,,,,2951
8,14,3713,1,Prius,JT2BK18U020042342,E-1120610,203,1675,True,27,,,,,,,,,,22230.00,,,,,,,,,,,,,1,1,,Toyota,,2002,,1,,,,,65380,12/5/2017 12:00:00 AM,,,,10/24/2001 12:00:00 AM,,,,,,,,,8,,,False,False,,,,,1944
9,15,3713,1,Venture,1GNDX03E22D155107,E-1120725,206,1675,True,26,,,,,,,,,,36022.00,,,,,,,,,,,,,1,2,,Chevrolet,,2002,,5,,,,5,221602,12/5/2017 12:00:00 AM,,,,3/15/2002 12:00:00 AM,,,,,,,,,14,,,False,False,,,,,2951
