"Paratransit, Inc.",ITP_ID,NTD ID,Legacy NTD ID,Kate Review,review comments,PTO trips data inclusion,PTO trips data text info,annual ridership,Only aggregate data,Commuter Bus,Demand Response,Demand response- taxi,Bus,Rail,Other,Source,Year,Link,revenue link (if different source than data source),2017 fare revenue total----,Commuter Bus fare revenue,Demand Response fare revenue,Demand response- taxi fare revenue,Bus Rapid Transit Fare revenue,Bus fare revenue,Commuter rail fare revenue,Heavy rail fare revenue,Light Rail fare revenue,Other modes fare revenue,Other Description,STA1,STA2,Contacted,Trillium client,Agency Acronym,Administering entity,Admin Acronym,Reporter Status,Reporter Type,TypeCode,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,Associated Transit Organizations,Agency Notes,Service area density,City,State,Zip Code,Zip Code Ext,Region,URL,FTA Recipient ID,Duns Number,Service Area Sq Miles,Service Area Pop,Primary UZA,UZA Name,Tribal Area Name,Population,Density,Sq Miles,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles,Operates Transit (Y/N),Potential for GTFS static (Y/N),Transit type,Free fare on fixed-route (Y/N),Fares based on route (Y/N),Fares based on zone (Y/N),Flat fares (Y/N),Reduced fare,Reduced fare categories,Category notes,Transfers Allowed (Y/N),Transfer Time,Transfer Fee (Y/N),Transfers notes,Interagency Transfers (Y/N/?),Interagency transfer notes,Pass times/trips,Pass notes,Reservations (Y/N),Group/school trip Discount (Y/N),Ticket/Pass Sales Methods,Payment Accepted,Ticket Media,Electronic fare program,Ticket validation,Bike fee,Cheaper base fare w/ smartcard (Y/N),Reg/Adult Ticket Price Min,Reg/Adult Ticket Price Max,Pass Price Min,Pass Price Max,Fare capping,GTFS,Real-time status,GTFS Service Alerts,# of fixed routes,GTFS fares (Y/N),GTFS+ Fares (Y/N),Operates Paratransit,Paratransit fare URL,Operates Demand Response,Demand Response fare URL,T_Company,T_Background,T_Tags,T_Phone,T_Email,T_URL,T_URL_Other,T_Created,T_Last_Updated,T_Added by,T_Live in Google Maps,T_NTD ID,T_Number of Routes,T_Trillium client,T-Farebox Ratio % - Year,T_OPEX,Source,County,OPM_ID (DRMT),Local Commission,Metropolitan Planning Organization,Regional Transportation Planning Authority,Caltrans District (int),Caltrans District (string),Combined Address,Street Address,City,Zip,Lat,Long
Yurok Tribe Transit Service,377,99262,9T09,x,,6,,"12,683",,,"12,683",,,,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/99262.pdf,,"$10,662",,"$10,662",,,,,,,,,,,,,YTTS,Yurok Tribe,,Active,Reduced Reporter,1,Tribe,Tribe,,,,9/30/2017,1/31/2018,190 Klamath Blvd,,1027,,,Rural,Klamath,CA,95548,,9,https://www.yuroktribe.org/departments/planning/Transportation_Program.htm,6738,622970366,,,0,California Non-UZA,"Yurok Reservation, CA",0,0,0,3,,3,,,Y,N,demandresponse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTD,Del Norte,,Del Norte Local Transportation Commission,Non-MPO Rural RTPA,Del Norte Local Transportation Commission,1,01 - Eureka,,,,,,
Blue Lake Rancheria,42,99292,9T02,x,,6,,"15,975",,,,,"15,975",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/99292.pdf,,"$15,336",,,,,"$15,336",,,,,,Humboldt County Association of Governments,,Y,YY,BLRTS,"Blue Lake, City of",,Active,Reduced Reporter,1,Tribe,Tribe,,,,12/31/2017,4/30/2018,PO Box 428,,,,"Blue Lake Rancheria is a member of the North Coast Tribal Transportation Commission, comprised of nine North Coast tribes, and coordinates on transportation issues unique to North Coast tribes.",Rural,Blue Lake,CA,95525,,9,https://bluelakerancheria-nsn.gov/initiatives/transportation/,6899,184567634,,,0,California Non-UZA,"Blue Lake Rancheria and Off-Reservation Trust Land, CA",0,0,0,1,,1,,,Y,Y,busfixedroute,,N,N,Y,Y,"age0-3, age4-6, age7-12, senior, disabled, student","age3under free, student?",,,,,,,"10ride, 20ride",,,,"onboardbus, toffice",,,,,,,1.65,1.65,15,25,,http://data.trilliumtransit.com/gtfs/humboldtcounty-ca-us/humboldtcounty-ca-us.zip,4,,,Y,N,,,,,Blue Lake Rancheria Transit System,"BLRTS passengers are able to connect with Arcata Transit, Humboldt Transit, Greyhound and Amtrac.","propsent-gtfs, nocal",707-668-5101,info@bluelakerancheria-nsn.gov,,,2010-01-22 00:54:13,2019-01-16 22:34:03,Aaron Antrim,N,99292,1,N,,,NTD/Trillium contact,Humboldt,112012,Humboldt County Association of Governments,Non-MPO Rural RTPA,Humboldt County Association of Governments,1,01 - Eureka,"428 Chartin Road, Blue Lake, CA 95525",428 Chartin Road,Blue Lake,95525,40.88459702,-123.9985328
Arcata and Mad River Transit System,18,9R02-91018,9R02-108,x,,1,,"242,615",,,,,"242,615",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/9R02-91018.pdf,mistake in first iteration- reported humboldt county numbers,"$240,318",,,,,"$240,318",,,,,,Humboldt County Association of Governments,,Y,Y,AMRTS,"Arcata, City of",,Active,Rural Reporter,5,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,736 F Street,,,HTA,,Rural,Arcata,CA,95521,6211,9,https://hta.org/agencies/arcata-and-mad-river/,,4940821,,,,,,,,,3,,3,,,Y,Y,busfixedroute,,N,N,Y,Y,"age62over, age3-17, disabled",age0-2 is free,N,,,,?,,"1day, monthly, ",,,,onboardbus,cash,,,,,,1.25,1.75,2.5,30,,http://data.trilliumtransit.com/gtfs/humboldtcounty-ca-us/humboldtcounty-ca-us.zip,4,,,Y,N,,,,,,,,,,,,,,,,,,,,,Trillium contact,Humboldt,112002,Humboldt County Association of Governments,Non-MPO Rural RTPA,Humboldt County Association of Governments,1,01 - Eureka,"736 F Street, Arcata, CA, 95521",736 F Street,Arcata,95521,40.867358,-124.084387
Humboldt Transit Authority,135,9R02-91036,9R02-016,x,,1,,"595,981",,"546,561",,,"49,420",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/9R02-91036.pdf,,"$1,173,533","$1,033,071",,,,"$140,462",,,,,,Humboldt County Association of Governments,,Y,YY,HTA,Humboldt Transit Authority,HTA,Active,Rural Reporter,,Rural,Independent Public Agency or Authority of Transit Service,9R02,California Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,133 V Street,,,,"HTA operates and maintains the Redwood Transit System (RTS), the Willow Creek Transit Service, and the Southern Humboldt Transit Systems. ",Rural,Eureka,CA,95501,,9,http://www.hta.org/,,50506997,,,,,,,,,14,,14,,,Y,Y,"busfixedroute, paratransit",,Y,Y,N,Y,"age62over, age3-17, age0-2, disabled, medicare",age0-2 free,Y,,N,,N,,"1day, 7day, 31day, storedvalue10, storedvalue20",,,,"online, mobile, onboardbus, mail, toffice","cash, card","customcard, mobile",,magstrip,,,1.20,6.25,2.5,113,,http://data.trilliumtransit.com/gtfs/humboldtcounty-ca-us/humboldtcounty-ca-us.zip,1,Y,,Y,Y,Y,https://hta.org/dial-a-ride/,,,,,,,,,,,,,,,,,,,Trillium contact,Humboldt,112005,Humboldt County Association of Governments,Non-MPO Rural RTPA,Humboldt County Association of Governments,1,01 - Eureka,"133 V Street, Eureka, CA, 95501",133 V Street,Eureka,95501,40.806588,-124.148725
Mendocino Transit Authority,198,9R02-91047,9R02-047,x,,1,,"291,156",,,"33,217",,"257,939",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/9R02-91,,"$565,427",,"$119,202",,,"$446,225",,,,,,Mendocino Council of Governments,,Y,YY,MTA,Mendocino Transit Authority,MTA,Active,Rural Reporter,,Rural,Independent Public Agency or Authority of Transit Service,9R02,California Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,764 E Street,,,,,Mix,Ukiah,CA,93280,,9,http://www.mendocinotransit.org,,84524222,,,,,,,,,23,,23,,,Y,Y,"busfixedroute, demandresponse",,N,Y,N,Y,"age0-6, age62over, student, disabled",student at Mendocino College,N,,,,?,http://mendocinotransit.org/connections/,"monthly, youthsummer, 16ride, ",,,,"onboardbus, toffice",cash,"customcard, punchcard",,,,,0.75,23,35,85,,http://data.trilliumtransit.com/gtfs/mendocino-ca-us/mendocino-ca-us.zip,2,,,Y,N,,,Y,http://mendocinotransit.org/dial-a-ride/,,,,,,,,,,,,,,,,,Trillium contact,Mendocino,123002,Mendocino Council of Governments,Non-MPO Rural RTPA,Mendocino Council of Governments,1,01 - Eureka,"241 Plant Road, Ukiah, CA, 95482",241 Plant Road,Ukiah,95482,39.111962,-123.192946
Lake Transit,159,9R02-91053,9R02-001,x,,1,,"337,990",,,"8,603",,"329,387",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/9R02-91053.pdf,,"$536,012",,"$8,671",,,"$527,341",,,,,,Lake County/City Council of Governments,,Y,Y,,Lake Transit Authority,LTA,Active,Rural Reporter,,Rural,Independent Public Agency or Authority of Transit Service,9R02,California Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,1445 S. Silvervale Street,,,,,Mix,Lower Lake,CA,93277,4080,9,http://laketransit.org/,,21858704,,,,,,,,,,22,22,,,Y,Y,"busfixedroute, paratransit",,Y,N,N,Y,"age65over, medicare, disabled, ADAcard, age6-12, age0-5, age7-18","age0-5 free, age7-18 for summeryouth pass only",Y,,Y,Transfer free to an equal/lower priced route. Pay the difference when transferring to a route with a higher fare.,Y,https://laketransit.org/bus-pass-transfers/,"storedvalue11, monthly, weekly, summeryouth",summeryouth for age7-18 during summer months only,,,onboardbus,,customcard,,,,,1.25,5,10,40,,http://data.trilliumtransit.com/gtfs/laketransit-ca-us/laketransit-ca-us.zip,1,,,Y,N,Y,https://laketransit.org/dial-a-ride/,,,,,,,,,,,,,,,,,,,Trillium contact,Lake,117002,Lake County/City Area Planning Council,Non-MPO Rural RTPA,Lake County/City Area Planning Council,1,01 - Eureka,"9240 Highway 53, Lower Lake, CA, 95457",9240 Highway 53,Lower Lake,95457,38.91499,-122.610612
Eureka Transit Service,108,9R02-91093,9R02-068,x,"The NTD ID for this entity is the City of Eureka (https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/9R02-91093.pdf) which reports a very small bus service operation. This is separate from the Eureka Transit Service, which is a part of the Humbolt Transit Authority ",1,,"214,113",,,,,"214,113",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/9R02-91093.pdf,,"$266,229",,,,,"$266,229",,,,,,Humboldt County Association of Governments,,O,Y,ETS,"Eureka, City of",,Active,Rural Reporter,5,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,541 K Street,,,HTA,"ETS’ fixed-route system is operated under contract by HTA, while demand response service (dial-a-ride/dial-a-lift) is operated under a separate contract by City Ambulance of Eureka (CAE). A third contract is an agreement between the city and HTA for HTA to conduct day-to-day administration and reporting of the DAR/DAL program.",Rural,Eureka,CA,95501,,9,https://hta.org/agencies/eureka-transit-service/,,96235445,,,,,,,,,4,,4,,,Y,Y,"busfixedroute, demandresponse",,N,N,Y,Y,"age62over, disabled, medicare, age3-17, age0-2",age0-2 free,Y,,,,Y,https://hta.org/fares/,"1day, 31day, storedvalue10, storedvalue20",storedvalue cards are regional and allow transfers between systems,,,"onboardbus, mobile, online",cash,customcard,,magstrip,,,1.40,1.7,3.95,48,,http://data.trilliumtransit.com/gtfs/humboldtcounty-ca-us/humboldtcounty-ca-us.zip,4,Y,,Y,N,,,Y,https://hta.org/dial-a-ride/,,,,,,,,,,,,,,,,,Trillium contact,Humboldt,112003,Humboldt County Association of Governments,Non-MPO Rural RTPA,Humboldt County Association of Governments,1,01 - Eureka,"531 K Street, Eureka, CA, 95501",531 K Street,Eureka,95501,40.802492,-124.159326
Redwood Coast Transit,261,9R02-91097,9R02-002,x,,1,,"123,838",,,"12,670",,"111,168",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/9R02-91097.pdf,,"$205,807",,"$14,571",,,"$191,236",,,,,,Del Norte County Local Transportation Commission,,Y,Y,RCT,Redwood Coast Transit Authority,RCTA,Active,Rural Reporter,,Rural,Independent Public Agency or Authority of Transit Service,9R02,California Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,1145 S.Silvervale St,,,,,Mix,Crescent City,CA,93277,4080,9,http://www.redwoodcoasttransit.org/,,62868596,,,,,,,,,,8,8,,,Y,Y,"busfixedroute, paratransit, demandresponse",,N,Y,N,Y,"age65-79, age80over, childunder44in, studentk-12, medicare, disabled, ADAcard",age0-6 free,Y,30min,N,limited routes,?,,monthly,,,,onboardbus,cash,customcard,,,,,1.25,10,30,90,,http://data.trilliumtransit.com/gtfs/delnorte-ca-us/delnorte-ca-us.zip,2,,,Y,Y,Y,http://redwoodcoasttransit.org/ada-services/,Y,http://redwoodcoasttransit.org/dial-a-ride/,,,,,,,,,,,,,,,,,Trillium contact,Del Norte,108002,Del Norte Local Transportation Commission,Non-MPO Rural RTPA,Del Norte Local Transportation Commission,1,01 - Eureka,"140 Williams Drive, Crescent City, CA, 95531",140 Williams Drive,Crescent City,95531,41.760917,-124.193533
Karuk Tribe,145,,,x,,6,No ridership reported on NTD report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Needs more info,Rural,Orleans,CA,,,,http://www.karuk.us/index.php/departments/transportation,,,,,,,,,,,,,,,,N,N,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TransitWiki,Humboldt,,Humboldt County Association of Governments,Non-MPO Rural RTPA,Humboldt County Association of Governments,1,01 - Eureka,,,,,,
Redding Area Bus Authority,259,90093,9093,x,,1,742409 fixed route and paratransit 2017 calculated from ,"740,188",,,"54,395",,"685,793",,,Annual Financial Report,2017,https://www.cityofredding.org/home/showdocument?id=17342,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90093.pdf,"$873,442",,"$177,245",,,"$696,197",,,,,,Shasta Regional Transportation Agency,,Y,,RABA,"Redding, City of",,Active,Full Reporter,,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,777 Cypress Avenue,,,,,Mix,Redding,CA,96001,,9,http://www.rabaride.com/,1629,556912103,100,"117,478",267,"Redding, CA",,"117,731","1,657",71,,29,29,,,Y,Y,"busfixedroute, paratransit, demandresponse",,N,Y,N,Y,"age0-6, age62over, disabled, medicare, student","age0-6 are free, students from qualifying schools ride free,",,,,,,,"monthly, 10dollarpunchcard",,,Y,"onboardbus, station, phone, mail, vendor","cash, card","paper, customcard",,"magstrip, punchcard, visual",,,1.50,,29,82,,http://data.trilliumtransit.com/gtfs/redding-ca-us/redding-ca-us.zip,1,Y,,,,Y,https://www.cityofredding.org/departments/redding-area-bus-authority/services/paratransit,Y,https://www.cityofredding.org/departments/redding-area-bus-authority/services/paratransit,,,,,,,,,,,,,,,,,NTD,Shasta,245002,Shasta Regional Transportation Agency,Shasta Regional Transportation Agency,Shasta Regional Transportation Agency,2,02 - Redding,"3333 South Market Street, Redding, CA, 96001",3333 South Market Street,Redding,96001,40.565026,-122.386804
