AGENCY NAME,AGENCY ADDRESS,PHONE,COUNTY,CALTRANS DIST,CONTACT,TITLE, EMAIL
Alpine County,"50 Diamond Valley Road
Markleeville, CA 96120",(530) 694-1361,Alpine ,10.0,Brian Peters,"Community Development
Director",bpeters@alpinecountyca.gov
Amador Transit,"11400 American Legion Drive
Jackson, CA 95642",(209) 267-9395,Amador,10.0,Maggie Amarant,General Manager,maggie@amadortransit.com 
Butte County,"7 County Center Drive
Oroville, CA 95965",(530) 538-7681,Butte,3.0,Mike Crump,,mcrump@buttecounty.net
Colusa County Transit Agency,"1215 Market Street
Colusa, CA 95932",(530) 458-0466,Colusa,3.0,Jon Wrysinski,,jwrysinski@ccdpw.com
Sutter Coast Hospital,"800 East Washington Blvd.
Cresent City, CA 95531",(707) 464-8686,Del Norte,1.0,Carlos W. Priestley,Hospital Administrator,PriestCW@sutterhealth.rog
El Dorado County Transit Authority,"6565 Commerce Way
Diamond Springs, CA 95619",(530) 642-5283,El Dorado,3.0,Mindy Jackson,Executive Director,mjackson@eldoradotransit.com
Fresno County EOC,3120 West Nielsen Suite 101                                               Fresno 93706,(559) 486-6587,Fresno,6.0,Monty Cox,Transit Systems Director,monty.cox@fresnoeoc.org
Fresno County Rural Transit Agency,"2035 Tulare Street Suite 201                                           Fresno, CA 93721",(559) 233-6789,Fresno,6.0,Moses Stites,General Manager,mstites@fresnocog.org
Glenn Transit Service,"777 North Colusa Street
Willows, CA 95988-2298",(530) 934-6530,Glenn,3.0,Mardy Thomas,Principal Planner,transit@countyofglenn.net
"Humboldt Community Access and Resource Center, Inc.","525 7th Street
Eureka, CA 95501",(707) 443-7077,Humboldt,1.0,Richard Farfan,,rfarf@hcar.us
Humboldt Transit Authority,"133 V Street
Eureka, CA 95501",(707) 433-0826,Humboldt,1.0,Greg Pratt,General Manager,greg@hta.org
Imperial County Department of Public Works,"155 S. Eleventh Street
El Centro, CA 92243-2853",(760) 482-4462,Imperial,11.0,Kathy Williams,,icpw@imperialcounty.net
Eastern Sierra Transit Authority,"703 Airport Road, Suite B
Bishop, CA 93514",(760) 872-1901,Inyo & Mono,9.0,John Helm,Executive Director,jhelm@estransit.com
